Country code,Service type,Service label,Layer id,Layer name,Min lat,Max lat,Min lon,Max lon
#country +code,#service +type,#service +label,#meta +id,#geo +admin_type,#geo +lat +max,#geo +lat +min,#geo +lon +max,#geo +lon +min
AGO,MapServer,EN,0,Admin0,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,MapServer,EN,1,Admin1,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,MapServer,EN,2,Admin2 Lines,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,MapServer,EN,3,Admin2,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,MapServer,EN,4,Admin3 Lines,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,MapServer,EN,5,Admin3,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,MapServer,EN,6,Base Map,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,FeatureServer,pcode,0,Admin0,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,FeatureServer,pcode,1,Admin1,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,FeatureServer,pcode,2,Admin2,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,FeatureServer,pcode,3,Admin3,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,FeatureServer,pcode,4,AdminLines,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,MapServer,pcode,0,Admin0,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,MapServer,pcode,1,Admin1,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,MapServer,pcode,2,Admin2,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,MapServer,pcode,3,Admin3,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
AGO,MapServer,pcode,4,AdminLines,-18.04208183299994,-4.3725910189999695,11.66847324400004,24.082117081000035
BDI,MapServer,FR,0,Admin0,-4.470000999999968,-2.309069999999963,29.00034500000004,30.850906000000066
BDI,MapServer,FR,1,Admin1,-4.470000999999968,-2.309069999999963,29.00034500000004,30.850906000000066
BDI,MapServer,FR,2,Admin2 Lines,-4.470000999999968,-2.309069999999963,29.00034500000004,30.850906000000066
BDI,MapServer,FR,3,Admin2,-4.470000999999968,-2.309069999999963,29.00034500000004,30.850906000000066
BDI,MapServer,FR,4,Base Map,-4.470000999999968,-2.309069999999963,29.00034500000004,30.850906000000066
BDI,FeatureServer,pcode,0,Admin0,-4.470000999999968,-2.309069999999963,29.00034500000004,30.850906000000066
BDI,FeatureServer,pcode,1,Admin1,-4.470000999999968,-2.309069999999963,29.00034500000004,30.850906000000066
BDI,FeatureServer,pcode,2,Admin2,-4.470000999999968,-2.309069999999963,29.00034500000004,30.850906000000066
BDI,FeatureServer,pcode,3,AdminLines,-4.470000999999968,-2.309069999999963,29.00034500000004,30.850906000000066
BDI,MapServer,pcode,0,Admin0,-4.470000999999968,-2.309069999999963,29.00034500000004,30.850906000000066
BDI,MapServer,pcode,1,Admin1,-4.470000999999968,-2.309069999999963,29.00034500000004,30.850906000000066
BDI,MapServer,pcode,2,Admin2,-4.470000999999968,-2.309069999999963,29.00034500000004,30.850906000000066
BDI,MapServer,pcode,3,AdminLines,-4.470000999999968,-2.309069999999963,29.00034500000004,30.850906000000066
BEN,MapServer,FR,0,Admin0,6.2257480620000365,12.408610000000067,0.7745749950000231,3.8517010210000535
BEN,MapServer,FR,1,Admin1,6.2257480620000365,12.408610000000067,0.7745749950000231,3.8517010210000535
BEN,MapServer,FR,2,Admin2 Lines,6.2257480620000365,12.408610000000067,0.7745749950000231,3.8517010210000535
BEN,MapServer,FR,3,Admin2,6.2257480620000365,12.408610000000067,0.7745749950000231,3.8517010210000535
BEN,MapServer,FR,4,Base Map,6.2257480620000365,12.408610000000067,0.7745749950000231,3.8517010210000535
BEN,MapServer,FR,5,AdminPoints,6.321577675000071,11.949668428000052,0.9052570800000694,3.4675406020000423
BEN,FeatureServer,pcode,0,Admin0,6.2257480620000365,12.408610000000067,0.7745749950000231,3.8517010210000535
BEN,FeatureServer,pcode,1,Admin1,6.2257480620000365,12.408610000000067,0.7745749950000231,3.8517010210000535
BEN,FeatureServer,pcode,2,Admin2,6.2257480620000365,12.408610000000067,0.7745749950000231,3.8517010210000535
BEN,FeatureServer,pcode,3,AdminPoints,6.321577675000071,11.949668428000052,0.9052570800000694,3.4675406020000423
BEN,FeatureServer,pcode,4,AdminLines,6.2257480620000365,12.408610000000067,0.7745749950000231,3.8517010210000535
BEN,MapServer,pcode,0,Admin0,6.2257480620000365,12.408610000000067,0.7745749950000231,3.8517010210000535
BEN,MapServer,pcode,1,Admin1,6.2257480620000365,12.408610000000067,0.7745749950000231,3.8517010210000535
BEN,MapServer,pcode,2,Admin2,6.2257480620000365,12.408610000000067,0.7745749950000231,3.8517010210000535
BEN,MapServer,pcode,3,AdminPoints,6.321577675000071,11.949668428000052,0.9052570800000694,3.4675406020000423
BEN,MapServer,pcode,4,AdminLines,6.2257480620000365,12.408610000000067,0.7745749950000231,3.8517010210000535
BFA,MapServer,FR,0,Admin0,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,MapServer,FR,1,Admin1,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,MapServer,FR,2,Admin2 Lines,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,MapServer,FR,3,Admin2,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,MapServer,FR,4,Admin3 Lines,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,MapServer,FR,5,Admin3,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,MapServer,FR,6,Base Map,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,FeatureServer,pcode,0,Admin0,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,FeatureServer,pcode,1,Admin1,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,FeatureServer,pcode,2,Admin2,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,FeatureServer,pcode,3,Admin3,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,FeatureServer,pcode,4,AdminLines,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,MapServer,pcode,0,Admin0,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,MapServer,pcode,1,Admin1,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,MapServer,pcode,2,Admin2,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,MapServer,pcode,3,Admin3,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BFA,MapServer,pcode,4,AdminLines,9.411404856000047,15.082890105000047,-5.513453871999957,2.4006042770000704
BGD,MapServer,EN,0,Admin0,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,MapServer,EN,1,Admin1,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,MapServer,EN,2,Admin2 Lines,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
