Date posted,Base URL for AWS,COD,Base file name,.geojson,.topojson,.kml,.csv
15/10/19,https://itos-humanitarian.s3.amazonaws.com,CMR,COD_CMR_Admin3,https://itos-humanitarian.s3.amazonaws.com/CMR/COD_CMR_Admin3.geojson,https://itos-humanitarian.s3.amazonaws.com/CMR/COD_CMR_Admin3.topojson,https://itos-humanitarian.s3.amazonaws.com/CMR/COD_CMR_Admin3.kml,https://itos-humanitarian.s3.amazonaws.com/CMR/COD_CMR_Admin3.csv
15/10/19,https://itos-humanitarian.s3.amazonaws.com,COD,COD_COD_Admin0,https://itos-humanitarian.s3.amazonaws.com/COD/COD_COD_Admin0.geojson,https://itos-humanitarian.s3.amazonaws.com/COD/COD_COD_Admin0.topojson,https://itos-humanitarian.s3.amazonaws.com/COD/COD_COD_Admin0.kml,https://itos-humanitarian.s3.amazonaws.com/COD/COD_COD_Admin0.csv
15/10/19,https://itos-humanitarian.s3.amazonaws.com,COD,COD_COD_Admin1,https://itos-humanitarian.s3.amazonaws.com/COD/COD_COD_Admin1.geojson,https://itos-humanitarian.s3.amazonaws.com/COD/COD_COD_Admin1.topojson,https://itos-humanitarian.s3.amazonaws.com/COD/COD_COD_Admin1.kml,https://itos-humanitarian.s3.amazonaws.com/COD/COD_COD_Admin1.csv
15/10/19,https://itos-humanitarian.s3.amazonaws.com,COD,COD_COD_Admin2,https://itos-humanitarian.s3.amazonaws.com/COD/COD_COD_Admin2.geojson,https://itos-humanitarian.s3.amazonaws.com/COD/COD_COD_Admin2.topojson,https://itos-humanitarian.s3.amazonaws.com/COD/COD_COD_Admin2.kml,https://itos-humanitarian.s3.amazonaws.com/COD/COD_COD_Admin2.csv
15/10/19,https://itos-humanitarian.s3.amazonaws.com,COG,COD_COG_Admin0,https://itos-humanitarian.s3.amazonaws.com/COG/COD_COG_Admin0.geojson,https://itos-humanitarian.s3.amazonaws.com/COG/COD_COG_Admin0.topojson,https://itos-humanitarian.s3.amazonaws.com/COG/COD_COG_Admin0.kml,https://itos-humanitarian.s3.amazonaws.com/COG/COD_COG_Admin0.csv
15/10/19,https://itos-humanitarian.s3.amazonaws.com,COG,COD_COG_Admin1,https://itos-humanitarian.s3.amazonaws.com/COG/COD_COG_Admin1.geojson,https://itos-humanitarian.s3.amazonaws.com/COG/COD_COG_Admin1.topojson,https://itos-humanitarian.s3.amazonaws.com/COG/COD_COG_Admin1.kml,https://itos-humanitarian.s3.amazonaws.com/COG/COD_COG_Admin1.csv
15/10/19,https://itos-humanitarian.s3.amazonaws.com,COG,COD_COG_Admin2,https://itos-humanitarian.s3.amazonaws.com/COG/COD_COG_Admin2.geojson,https://itos-humanitarian.s3.amazonaws.com/COG/COD_COG_Admin2.topojson,https://itos-humanitarian.s3.amazonaws.com/COG/COD_COG_Admin2.kml,https://itos-humanitarian.s3.amazonaws.com/COG/COD_COG_Admin2.csv
15/10/19,https://itos-humanitarian.s3.amazonaws.com,ECU,COD_ECU_Admin0,https://itos-humanitarian.s3.amazonaws.com/ECU/COD_ECU_Admin0.geojson,https://itos-humanitarian.s3.amazonaws.com/ECU/COD_ECU_Admin0.topojson,https://itos-humanitarian.s3.amazonaws.com/ECU/COD_ECU_Admin0.kml,https://itos-humanitarian.s3.amazonaws.com/ECU/COD_ECU_Admin0.csv
15/10/19,https://itos-humanitarian.s3.amazonaws.com,ECU,COD_ECU_Admin1,https://itos-humanitarian.s3.amazonaws.com/ECU/COD_ECU_Admin1.geojson,https://itos-humanitarian.s3.amazonaws.com/ECU/COD_ECU_Admin1.topojson,https://itos-humanitarian.s3.amazonaws.com/ECU/COD_ECU_Admin1.kml,https://itos-humanitarian.s3.amazonaws.com/ECU/COD_ECU_Admin1.csv
15/10/19,https://itos-humanitarian.s3.amazonaws.com,ECU,COD_ECU_Admin2,https://itos-humanitarian.s3.amazonaws.com/ECU/COD_ECU_Admin2.geojson,https://itos-humanitarian.s3.amazonaws.com/ECU/COD_ECU_Admin2.topojson,https://itos-humanitarian.s3.amazonaws.com/ECU/COD_ECU_Admin2.kml,https://itos-humanitarian.s3.amazonaws.com/ECU/COD_ECU_Admin2.csv
